"id","district_id","city"
1,1,Aali
2,2,Aalo HQ
3,3,Aandhi
4,4,Aau
5,5,Abapura
6,6,Abdasa
7,7,Abdullapurmet
8,8,Abhanpur
9,9,Abhyachandpur
10,10,Abohar
11,11,Aboi
12,12,Abu Road
13,13,Achalpur
14,14,Achampet
15,15,Achanta
16,16,Adajan
17,17,Adampur
18,18,Adampur
19,19,Adapur
20,20,Adava
21,21,Adavidevulapalli
22,22,Adbhar
23,23,Adda Guduru
24,24,Addakal
25,25,Addanki
26,26,Addateegala
27,27,Adhartal
28,28,Adhaura
29,29,Adibadri
30,30,ADILABAD RURAL
31,30,ADILABAD URBAN
32,31,Adityapur(Gamharia)
33,32,Adokgre
34,33,Adoni
35,34,Adoor
36,35,Afzalpur
37,36,Agali
38,37,Agamoni
39,38,Agar
40,39,Agarpada
41,40,Agastheeswaram
42,41,Agatti
43,42,Aghunato
44,43,Agiaon
45,44,Agiripalle
46,45,Agra
47,46,Aheri
48,47,Ahiwara
49,48,Ahmadpur
50,49,AHMEDGARH
51,50,Ahore
52,51,Ahwa
53,52,Aibawk
54,53,Ainavilli
55,54,Ainthapali
56,55,Airfield (Kapila Prasad)
57,56,Aitepyong
58,57,Ajaigarh
59,58,Ajas
60,59,Ajgarbahar
61,60,Ajitmal
62,61,AJJAMPURA
63,62,Ajmer
64,63,Ajnala
65,64,Ajra
66,65,Akaltara
67,66,Akbarpur
68,67,Akbarpur
69,68,Akbarpur
70,69,Akhnoor
71,15,Akividu
72,70,Akkalkot
73,71,Akkalkuwa
74,72,Akkannapet
75,73,Aklera
76,74,Akola
77,75,Akole
78,76,A.Konduru
79,77,Akorhi Gola
80,74,Akot
81,71,Akrani
82,42,Akuhaito
83,42,Akuluto
84,23,Alair
85,78,Alamnagar
86,79,Alampur
87,80,Alampur
88,53,Alamuru
89,35,Aland
90,81,Alandur
91,82,Alangudi
92,83,Alangulam
93,84,Alathur
94,85,Alathur
95,86,Alauli
96,87,Albert Ekka(Jari)
97,88,Alewa
98,89,Algapur
99,90,Alibag
100,91,Aliganj
101,92,Alinagar
102,93,Alipur
103,94,Alipurduar - I
104,94,Alipurduar - II
105,95,Alirajpur
106,96,Alladurg
107,97,Allagadda
108,98,Allahabad
109,99,Allapalli
110,68,Allapur
111,53,Allavaram
112,100,Allur
113,101,ALMEL
114,102,Almora
115,103,ALNAVAR
116,104,Alongkima
117,58,Aloosa
118,105,Alot
119,33,Alur
120,106,Alur
121,107,Aluva
122,108,Alwal
123,109,Alwar
124,36,Amadagur
125,110,Amadalavalasa
126,111,Amahator
127,53,Amalapuram
128,112,Amalner
129,7,Amangal
130,57,Amanganj
131,36,Amarapuram
132,113,Amaravathi
133,114,Amarchintha
134,49,Amargarh
135,115,Amariya
136,116,Amarpatan
137,117,Amarpur
138,118,Amarpur
139,119,Amarwara
140,120,Amas
141,121,Amb
142,122,Ambabhona
143,123,Ambad
144,124,Ambadala
145,125,Ambagarh
146,126,Ambah
147,53,Ambajipeta
148,127,Ambala
149,127,Ambala Cantonment
